numero_patente,titulo
BR 10 2023 015445 0,PROCESSO FÍSICO DE SEPARAÇÃO DOS NIBS E DOS TEGUMENTOS DE AMÊNDOAS FERMENTADAS E SECAS DE CUPUAÇU (THEOBROMA GRANDIFLORUM (WILLD. EX SPRENG.) K. SCHUM)
BR 10 2021 012402 4,MISTURA PARA VELA VEGETAL E VEGANA DE CERA DE CUPUAÇU
BR 10 2020 024765 4,COMPOSIÇÃO E PROCESSO DE PRODUÇÃO DE BARRAS DE ALFARROBA E CUPUAÇU
BR 10 2020 014550 9,COMPOSIÇÃO NANOESTRUTURADA CONTENDO EXTRATO DE SEMENTES DE CUPUAÇU (THEOBROMA GRANDIFLORUM) E SEU USO NO TRATAMENTO TÓPICO DE QUEIMADURAS CUTÂNEAS
BR 10 2020 007903 4,CERVEJA COM CUPUAÇU E SEU PROCESSO DE PRODUÇÃO
BR 10 2017 023191 7,GELEIA DE CUPUAÇU ADICIONADA DE EXTRATO DE JAMBU
BR 10 2017 020567 3,"PROCESSO PARA OBTENÇÃO DE UM PRODUTO ALIMENTÍCIO COM PROPRIEDADE FUNCIONAL ENRIQUECIDO COM O EXTRATO MICROENCAPSULADO DO RESÍDUO DAS AMÊNDOAS DO CUPUAÇU, PADRONIZADO EM ANTIOXIDANTES NATURAIS"
BR 10 2017 014988 9,FORMULAÇÕES DE BATONS À BASE DE GORDURA DE CUPUAÇU COM CORANTE DE BETERRABA E CORANTE DE PÁPRICA
BR 11 2017 004045 0,"COMPOSIÇÕES PARA FORMULAÇÃO COSMÉTICA COMPREENDENDO UMA MISTURA SELECIONADA DENTRE MANTEIGA DE MURUMURU, MANTEIGA DE UCUUBA, ÓLEO DE CASTANHA, ÓLEO DE MARACUJÁ, MANTEIGA DE CUPUAÇU, ÓLEO DE AÇAÍ E/OU ÓLEO DE ANDIROBA E/OU ÉSTERES DOS MESMOS, BEM COMO USO DE UMA MISTURA PARA PREPARAÇÃO DE UM PRODUTO COSMÉTICO"
BR 10 2014 013297 0,BEBIDA FERMENTADA DE CUPUAÇÚ E RESPECTIVO PROCESSO DE FABRICAÇÃO E ENGARRAFAMENTO
BR 11 2015 019411 7,"MÉTODOS DE PROCESSAMENTO DE SEMENTES DE FRUTA NÃO PROCESSADAS, TAIS COMO GRÃOS DE CACAU OU GRÃOS DE CUPUAÇU"
BR 10 2013 034081 2,PROCESSO DE DESENVOLVIMENTO DE UM MEIO DE CULTURA LÍQUIDO UTILIZANDO POLPA DE BANANA PACOVI E DE CUPUAÇU DESIDRATADAS PARA PRODUÇÃO DE BIOMASSA POR FUNGOS FILAMENTOSOS
BR 12 2019 015510 0,"COMPOSIÇÃO DE MANTEIGA DE CUPUAÇU, SEU USO E MÉTODO COSMÉTICO NÃO TERAPÊUTICO PARA A MODULAÇÃO DE FUNÇÕES DE MATÉRIAS QUERATÍNICAS"
PI 1105892-7,PROCESSO DE PRODUÇÃO DE BEBIDA ALCOÓLICA DE CUPUAÇU E BEBIDA ALCOÓLICA DE CUPUAÇU
PI 1102270-1,"PROCESSO DE PRODUÇÃO DE COGUMELO COMESTÍVEL UTILIZANDO RESÍDUOS VEGETAIS DE CUPUACU, COGUMELO COMESTÍVEL OBTIDO E USO DE RESÍDUOS VEGETAIS DE CUPUAÇU COMO SUBSTRATO PARA CRESCIMENTO DE COGUMELOS"
PI 0403781-2,USO DE MANTEIGA DE CUPUAÇU BASEADO EM AMIDOAMINAS ANFOTÉRICAS COMO TENSOATIVOS ANFOTÉRICOS
PI 0400255-5,Formulação de produtos alimentícios à base de cupuaçu
PI 0304042-9,PROCESSO PARA FRAGMENTAÇÃO DE AMÊNDOAS DE CUPUAÇU
PI 0302871-2,"EMPREGO DE AMIDOAMINAS ANFOTÉRICAS BASEADAS EM MANTEIGA DE CUPUAÇÚ COMO AMACIANTE TÊXTIL, COMPOSIÇÃO AQUOSA E MÉTODO PARA AMACIAMENTO DE TECIDOS OU FIBRAS"
PI 9805364-7,DESCASCADOR CLASSIFICADOR PARA SEMENTES DE CUPUAÇU
